dataset,dataset_source,method,seed,status,epochs,train_n,test_n,input_kind,seq_len,classes,embed_dim,heads,layers,device,parameter_count,train_seconds,train_loss_last,learned_alpha_mean,attention_nonzero_ratio_last,peak_memory_mb,accuracy,macro_f1,loss,inference_seconds,nonzero_ratio,wall_seconds_total
kmnist,torchvision:kmnist,softmax,0,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,24.844573899987154,0.5103744864463806,,0.9999639093875885,34.54443359375,0.7416666666666667,0.7427785459780064,0.8909248542040586,0.19316530000651255,0.9999789744615555,31.152718299999833
kmnist,torchvision:kmnist,softmax,1,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,22.248312199953943,0.36123335361480713,,0.9999999403953552,34.54443359375,0.7396666666666667,0.7380590853390764,0.8552212808281183,0.290296999970451,0.9999999403953552,25.078686100023333
kmnist,torchvision:kmnist,softmax,2,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,21.826062400010414,0.4606954753398895,,0.9999999403953552,34.54443359375,0.7393333333333333,0.7421789789012497,0.8188120629638433,0.2260851999744773,0.9999999403953552,25.752384999999776
kmnist,torchvision:kmnist,softmax,3,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,26.03450830001384,0.23110580444335938,,0.9999999403953552,34.54443359375,0.7386666666666667,0.7383488362181412,0.8151108799502254,0.21263969998108223,0.9999995185062289,30.05602740001632
kmnist,torchvision:kmnist,softmax,4,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,22.849474099988583,0.44091203808784485,,0.9999999403953552,34.54443359375,0.753,0.7524683967958239,0.7809335635975003,0.27958110003964975,0.9999981122091413,27.08511130005354
kmnist,torchvision:kmnist,softmax,5,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,20.535374400031287,0.358371376991272,,0.9999999403953552,34.54443359375,0.766,0.7665753032659829,0.8119437359273434,0.17411590000847355,0.9999999403953552,23.538460000010673
kmnist,torchvision:kmnist,softmax,6,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,25.682501700008288,0.4047958552837372,,0.9999999403953552,34.54443359375,0.7363333333333333,0.7401058248868683,0.8558688685297966,0.38890730001730844,0.9999999403953552,28.640374599955976
kmnist,torchvision:kmnist,softmax,7,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,23.587835800019093,0.4317512810230255,,0.9999999403953552,34.54443359375,0.7286666666666667,0.7304108118472371,0.8937188815325499,0.3719777999795042,0.9999999403953552,27.237922000000253
kmnist,torchvision:kmnist,softmax,8,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,25.80832160002319,0.3233872652053833,,0.9999999403953552,34.54443359375,0.7636666666666667,0.7652475908385312,0.8005798356607556,0.5244439000380225,0.9999993778765202,31.4530227999785
kmnist,torchvision:kmnist,softmax,9,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,21.340312400017865,0.39386191964149475,,0.9999999403953552,34.54443359375,0.742,0.7408537596227787,0.888583755120635,0.37033940001856536,0.9999999403953552,26.48158640001202
