dataset,method,baseline,n,mean_delta_accuracy,mean_delta_macro_f1,paired_t_stat_accuracy,paired_p_value_accuracy,significant_p_lt_0_05,source_test_file,verification_status
cifar10,headwise_adaptive_entmax,entmax15,10,0.0014500000000000012,0.0005744780101257507,0.7408885222833667,0.4776451758942336,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
fashion_mnist,headwise_adaptive_entmax,entmax15,10,-0.0008499999999999952,-0.0010394224382828886,-0.8546419164724722,0.4149193331883354,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
synthetic_marker,headwise_adaptive_entmax,entmax15,10,-0.0006000000000000019,-0.0010985567510391494,-0.29859328972573307,0.7720296647437427,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
twenty_news,headwise_adaptive_entmax,entmax15,10,0.0013999999999999956,0.0017827133285893248,0.7749481994021826,0.45824611248039737,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
