dataset,dataset_source,method,seed,status,epochs,train_n,test_n,input_kind,seq_len,classes,embed_dim,heads,layers,device,parameter_count,train_seconds,train_loss_last,learned_alpha_mean,attention_nonzero_ratio_last,peak_memory_mb,accuracy,macro_f1,loss,inference_seconds,nonzero_ratio,wall_seconds_total
cifar10,torchvision:cifar10,headwise_adaptive_entmax,0,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114130,27.79035080000176,1.8851118087768557,1.50700706243515,0.7764976322650909,39.67578125,0.4145,0.4041324572749986,1.6144726844060988,0.4886996000132058,0.7798361565385546,32.39820120000513
cifar10,torchvision:cifar10,headwise_adaptive_entmax,1,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114130,44.35222410000279,1.8657684326171875,1.5064650774002075,0.8076827526092529,39.67578125,0.4065,0.3944120285954511,1.6101435933794297,0.5176198999979533,0.8059193591276804,48.322978200012585
cifar10,torchvision:cifar10,headwise_adaptive_entmax,2,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114130,27.48928209999576,1.6667171716690063,1.5042408108711245,0.7295415103435516,39.67578125,0.388,0.3810243130181003,1.6743280036108834,0.4804998000035994,0.7377734382947286,31.483314700017218
cifar10,torchvision:cifar10,headwise_adaptive_entmax,3,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114130,31.13001079999958,1.5730937719345093,1.5058029890060425,0.7992214858531952,39.67578125,0.388,0.3674688500399742,1.6747538986660184,0.7188027999945916,0.8030043130829221,35.37652459999663
cifar10,torchvision:cifar10,headwise_adaptive_entmax,4,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114130,36.32755409998936,1.5259687900543213,1.5057157278060913,0.7262272834777832,39.67578125,0.397,0.3809727297043282,1.6521251258395968,0.6046211000066251,0.7344143646103996,42.05254710000008
cifar10,torchvision:cifar10,headwise_adaptive_entmax,5,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114130,25.578365699999267,1.5031689405441284,1.5052720308303833,0.7644788026809692,39.67578125,0.374,0.3613185515554883,1.6963977416356404,0.6859408000018448,0.7532624999682108,29.488008600019384
cifar10,torchvision:cifar10,headwise_adaptive_entmax,6,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114130,25.21980329998769,1.6443918943405151,1.5076430439949036,0.7657223343849182,39.67578125,0.3975,0.3863919371124495,1.669959925469898,1.0669230000057723,0.7787291804949442,29.93834399999469
cifar10,torchvision:cifar10,headwise_adaptive_entmax,7,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114130,27.475293099996637,1.7927716970443726,1.5072466731071472,0.7335315644741058,39.67578125,0.3935,0.3841398584181634,1.6654023613248552,0.4808611000189557,0.7283993789127895,32.854417399998056
cifar10,torchvision:cifar10,headwise_adaptive_entmax,8,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114130,23.738574899995,1.4257161617279053,1.502501368522644,0.7295577526092529,39.67578125,0.4045,0.3910014361303259,1.600888660975865,0.4170059000025503,0.7387862276463282,27.322824199975003
cifar10,torchvision:cifar10,headwise_adaptive_entmax,9,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114130,23.499177300021984,1.7237441539764404,1.5029385685920715,0.8202314078807831,39.67578125,0.407,0.3858390050487553,1.6067090431849165,0.4317604000098072,0.8294530184496016,27.192144800006645
cifar10,torchvision:cifar10,softmax,0,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,7.086256599985063,1.7971245050430298,,0.9995566606521606,35.486328125,0.401,0.3874379917490329,1.6239494709741502,0.1239706999913323,0.999437540769577,10.941193600010592
cifar10,torchvision:cifar10,softmax,1,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,6.85682449999149,1.9032946825027464,,1.0,35.486328125,0.397,0.3820875350459981,1.6253844442821683,0.1173819999967236,0.999990294377009,10.665530600002969
